activity_product_uuid,ei_activity,geo,sec,isic_class,ref_prod,unit,co2_footprint,emissions_unit
85ba1478-38fa-5c5a-86a7-51e4a3615705_3d0a8c4e-af1f-4164-9961-40d201fa5645,"polysulfide production, sealing compound",RoW,Chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,"polysulfide, sealing compound",kg,4.766622052301544,per product unit
71ae23f5-c5f7-5d2b-aec9-e417b2e6f813_8f7f787b-119e-481a-a2fa-e3ee86bcf5c8,"market for laser machining, metal, with CO2-laser, 3200W power",GLO,Metals,2592:Treatment and coating of metals; machining,"laser machining, metal, with CO2-laser, 3200W power",hour,6.946181178890338,per product unit
c8467c8e-2c09-50ca-a441-d4b5e3d29d1b_e03dc076-23ea-4705-b9f5-7bba07abd0ae,ammonium chloride production,GLO,Chemicals; Agriculture & Animal Husbandry,2012:Manufacture of fertilizers and nitrogen compounds,ammonium chloride,kg,4.818415747602029,per product unit
2522595d-dee3-5326-bb66-febbebe86d1a_7dd1dea7-88cc-47fa-900b-c9eb0dbfe819,"market for chromium steel removed by milling, large parts",GLO,Metals,2592:Treatment and coating of metals; machining,"chromium steel removed by milling, large parts",kg,4.833290930288419,per product unit
0dcaf497-b74d-5585-ac55-8eed868183ea_386915d8-286e-41f3-b448-a525344d873d,"heat production, at hot water tank, solar+gas, flat plate, multiple dwelling",CH,Heat,3530:Steam and air conditioning supply,"heat, solar+gas, multiple-dwelling, for hot water",MJ,5.913523142199988,per product unit
164ce725-4895-548e-84b4-3103aec0f8ab_6c8d3210-303e-4897-b8c0-2258cb6552f2,"yarn production, cotton, ring spinning",IN,Textiles,1311:Preparation and spinning of textile fibres,"yarn, cotton",kg,5.711497534166958,per product unit
d8f0cc89-f688-5151-8393-c039c71f1ed5_f31d1245-8beb-4427-8693-7a68b34f96ee,"photovoltaic panel production, CIS",RoW,Infrastructure & Machinery; Electronics; Electricity,2610:Manufacture of electronic components and boards,"photovoltaic panel, CIS",m2,5.158520440401512,per product unit
de0e2098-cda6-53c6-90a9-46ff6b66f900_efe650ec-2b78-4ae3-828a-1aad1d6803ec,"market for sewage sludge, 70% water, WWT, WW from CRT production",CH,Waste Treatment & Recycling,3821:Treatment and disposal of non-hazardous waste,"sewage sludge, 70% water, WWT, WW from CRT production",kg,5.378350253811813,per product unit
29e4dc13-8200-5800-854c-699a06dd4215_079ce451-ca92-47fd-99b3-a2b1d371abb4,"treatment of bottom ash, MSWI-WWT, WW from maize starch production, slag compartment",GLO,Waste Treatment & Recycling,3821:Treatment and disposal of non-hazardous waste,"bottom ash, MSWI-WWT, WW from maize starch production",kg,6.71335464962249,per product unit
44260694-ed88-563a-b7b7-4737fdfb2279_efccec02-11ea-40fb-8ca9-0d4afcff3777,television production,GLO,Electronics,2640:Manufacture of consumer electronics,television,unit,5.4493664925107215,per product unit
06cbe7d7-5278-5fbc-ad20-d96261c18373_03bf1369-1eec-49d0-bc4b-8b29efa826b9,"transport, freight, lorry 3.5-7.5 metric ton, EURO4",RER,Transport,4923:Freight transport by road,"transport, freight, lorry 3.5-7.5 metric ton, EURO4",metric ton*km,5.978351296852457,per product unit
