scenario,region,ipr_sector,ipr_subsector,year,value,co2_reductions
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Other Industry,2020,113.138133205029,0
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Other Industry,2030,82.1050219373536,0.274294001399488
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Other Industry,2040,31.6630277279034,0.720138322677434
1.5C Required Policy Scenario,Western Europe (WEU),Industry,Other Industry,2050,0,1
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Cars,2020,398.374490636398,0
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Cars,2030,225.318427393893,0.434405483559075
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Cars,2040,0.753216559059427,0.99810927512488
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Cars,2050,0,1
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Trucks,2020,93.6058765941472,0
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Trucks,2030,80.6176133329957,0.138754784782002
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Trucks,2040,5.04961593676814,0.946054498707789
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Trucks,2050,0,1
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Aviation,2020,88.788810049309,0
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Aviation,2030,147.147992960959,-0.657280831663815
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Aviation,2040,98.309863661553507,-0.107232584905204
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Aviation,2050,36.2081965911105,0.592198650133928
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Shipping,2020,142.717282837709,0
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Shipping,2030,150.865393997058,-0.0570926729919177
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Shipping,2040,100.060915002769,0.298887191423392
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Shipping,2050,27.1827462754322,0.809534306322641
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Other Transport,2020,74.5956583308045,0
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Other Transport,2030,36.2747814551639,0.513714574455547
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Other Transport,2040,1.39098591412929,0.98135299097488
1.5C Required Policy Scenario,Western Europe (WEU),Transport,Other Transport,2050,0,1
1.5C Required Policy Scenario,Western Europe (WEU),Other energy,NA,2020,182.105079246931,0
1.5C Required Policy Scenario,Western Europe (WEU),Other energy,NA,2030,159.697926835764,0.123045180858373
1.5C Required Policy Scenario,Western Europe (WEU),Other energy,NA,2040,89.0766101993187,0.510850490454841
1.5C Required Policy Scenario,Western Europe (WEU),Other energy,NA,2050,44.117725432792,0.757734789083125
1.5C Required Policy Scenario,Western Europe (WEU),Total,Energy,2020,2368.79623759844,0
1.5C Required Policy Scenario,Western Europe (WEU),Total,Energy,2030,1320.37059596391,0.442598491585522
1.5C Required Policy Scenario,Western Europe (WEU),Total,Energy,2040,367.292317241345,0.844945584001046
1.5C Required Policy Scenario,Western Europe (WEU),Total,Energy,2050,-29.4385457765022,1.01242763953659
1.5C Required Policy Scenario,World,NA,Land Use,2020,150,0
1.5C Required Policy Scenario,World,NA,Land Use,2030,60,0.6
1.5C Required Policy Scenario,World,NA,Land Use,2040,-60,1.4
1.5C Required Policy Scenario,World,NA,Land Use,2050,-110,1.73333333333333
1.5C Required Policy Scenario,World,Power,NA,2020,12763.4611034342,0
1.5C Required Policy Scenario,World,Power,NA,2030,5359.18210857238,0.580115294343602
1.5C Required Policy Scenario,World,Power,NA,2040,392.352700653756,0.969259693943974
1.5C Required Policy Scenario,World,Power,NA,2050,-807.128882513864,1.06323746168637
1.5C Required Policy Scenario,World,Buildings,NA,2020,3009.19596154265,0
1.5C Required Policy Scenario,World,Buildings,NA,2030,2454.20858934704,0.184430452283041
1.5C Required Policy Scenario,World,Buildings,NA,2040,1027.60931467226,0.658510337045163
1.5C Required Policy Scenario,World,Buildings,NA,2050,61.3004138858056,0.979628972433427
1.5C Required Policy Scenario,World,Industry,Iron and Steel,2020,2415.21294207686,0
1.5C Required Policy Scenario,World,Industry,Iron and Steel,2030,1871.81607636672,0.224989215751248
1.5C Required Policy Scenario,World,Industry,Iron and Steel,2040,778.205349078877,0.677790170994326
1.5C Required Policy Scenario,World,Industry,Iron and Steel,2050,88.292172651323,0.96344331751742
1.5C Required Policy Scenario,World,Industry,Non-metallic minerals,2020,3021.21689301173,0
1.5C Required Policy Scenario,World,Industry,Non-metallic minerals,2030,2641.46696562684,0.125694361190444
1.5C Required Policy Scenario,World,Industry,Non-metallic minerals,2040,1573.82084969043,0.479077171410376
1.5C Required Policy Scenario,World,Industry,Non-metallic minerals,2050,591.80721982988,0.804116274737253
1.5C Required Policy Scenario,World,Industry,Chemicals,2020,1385.38700124299,0
1.5C Required Policy Scenario,World,Industry,Chemicals,2030,1217.95429905062,0.120856267629293
1.5C Required Policy Scenario,World,Industry,Chemicals,2040,690.336634596986,0.501701232956852
1.5C Required Policy Scenario,World,Industry,Chemicals,2050,101.76481707237,0.926544123063761
1.5C Required Policy Scenario,World,Industry,Other Industry,2020,1920.92904562054,0
1.5C Required Policy Scenario,World,Industry,Other Industry,2030,1747.6443868429,0.0902087764109255
1.5C Required Policy Scenario,World,Industry,Other Industry,2040,920.564791054521,0.520771059632169
1.5C Required Policy Scenario,World,Industry,Other Industry,2050,91.9987470541074,0.952107160197378
1.5C Required Policy Scenario,World,Transport,Cars,2020,2761.64987566429,0
1.5C Required Policy Scenario,World,Transport,Cars,2030,2341.5314912288,0.152125867995643
1.5C Required Policy Scenario,World,Transport,Cars,2040,362.431411216033,0.868762722454506
1.5C Required Policy Scenario,World,Transport,Cars,2050,24.9521076993349,0.99096478235014
1.5C Required Policy Scenario,World,Transport,Trucks,2020,1831.87624961948,0
1.5C Required Policy Scenario,World,Transport,Trucks,2030,2087.32685792985,-0.139447524560374
1.5C Required Policy Scenario,World,Transport,Trucks,2040,524.461101754295,0.71370276684179
1.5C Required Policy Scenario,World,Transport,Trucks,2050,33.0920022908858,0.981935459724553
1.5C Required Policy Scenario,World,Transport,Aviation,2020,656.154551676232,0
1.5C Required Policy Scenario,World,Transport,Aviation,2030,1211.47261773188,-0.846322051164648
1.5C Required Policy Scenario,World,Transport,Aviation,2040,891.486595651316,-0.358653374230046
1.5C Required Policy Scenario,World,Transport,Aviation,2050,362.593217883662,0.447396627886875
1.5C Required Policy Scenario,World,Transport,Shipping,2020,807.855907071063,0
1.5C Required Policy Scenario,World,Transport,Shipping,2030,1042.77295866293,-0.290790782781514
1.5C Required Policy Scenario,World,Transport,Shipping,2040,771.121524711584,0.0454714535574328
1.5C Required Policy Scenario,World,Transport,Shipping,2050,223.512431142052,0.723326364038841
1.5C Required Policy Scenario,World,Transport,Other Transport,2020,1278.46554986473,0
1.5C Required Policy Scenario,World,Transport,Other Transport,2030,993.908097461261,0.222577332986074
1.5C Required Policy Scenario,World,Transport,Other Transport,2040,234.559259764398,0.816530637224275
1.5C Required Policy Scenario,World,Transport,Other Transport,2050,96.9414688278205,0.924173577584411
1.5C Required Policy Scenario,World,Other energy,NA,2020,2912.33855867168,0
1.5C Required Policy Scenario,World,Other energy,NA,2030,2742.6176154677,0.0582765155165856
1.5C Required Policy Scenario,World,Other energy,NA,2040,1571.36759320404,0.460444738292809
1.5C Required Policy Scenario,World,Other energy,NA,2050,699.206814739373,0.759915682653914
1.5C Required Policy Scenario,World,Total,Energy,2020,34763.7436394965,0
1.5C Required Policy Scenario,World,Total,Energy,2030,25711.9020642889,0.260381668587712
1.5C Required Policy Scenario,World,Total,Energy,2040,9738.31712604849,0.719871449201909
1.5C Required Policy Scenario,World,Total,Energy,2050,1568.33253056275,0.954885971234096
1.5C Required Policy Scenario,World,NA,Land Use,2020,5860,1
1.5C Required Policy Scenario,World,NA,Land Use,2030,2250,0.616040955631399
1.5C Required Policy Scenario,World,NA,Land Use,2040,570,0.902730375426621
1.5C Required Policy Scenario,World,NA,Land Use,2050,-1870,1.31911262798635
